❯ bin/run-experiments.sh
./experiments/api-refinement/add3-shuffled.imp... ✔  (199 ms)
./experiments/api-refinement/add3-sorted.imp... ✔  (219 ms)
./experiments/api-refinement/conditional-nonrefinement.imp... ✔  (190 ms)
./experiments/api-refinement/conditional-refinement.imp... ✔  (191 ms)
./experiments/api-refinement/loop-nonrefinement.imp... ✔  (192 ms)
./experiments/api-refinement/loop-refinement.imp... ✔  (193 ms)
./experiments/api-refinement/perm-inv-refinement.imp... ✔  (190 ms)
./experiments/api-refinement/simple-nonrefinement.imp... ✔  (189 ms)
./experiments/api-refinement/simple-refinement.imp... ✔  (189 ms)
./experiments/blackjack/do-nothing.imp... ✔  (189 ms)
./experiments/blackjack/draw-once.imp... ✔  (188 ms)
./experiments/blackjack/draw-until-21.imp... ✔  (188 ms)
./experiments/ctl/afefp-succeed.imp... ✔  (188 ms)
./experiments/ctl/afegp-fail.imp... ✔  (190 ms)
./experiments/ctl/afp-fail.imp... ✔  (189 ms)
./experiments/ctl/afp-succeed.imp... ✔  (192 ms)
./experiments/ctl/agafp-fail.imp... ✔  (191 ms)
./experiments/ctl/agafp-succeed.imp... ✔  (189 ms)
./experiments/ctl/agefp-succeed.imp... ✔  (190 ms)
./experiments/ctl/efafp-succeed.imp... ✔  (192 ms)
./experiments/ctl/efagp-succeed.imp... ✔  (193 ms)
./experiments/delimited-release/avg-salaries.imp... ✔  (221 ms)
./experiments/delimited-release/avg-salaries-no-dr.imp... ✔  (221 ms)
./experiments/delimited-release/conditional.imp... ✔  (210 ms)
./experiments/delimited-release/conditional-leak.imp... ✔  (191 ms)
./experiments/delimited-release/conditional-no-dr.imp... ✔  (190 ms)
./experiments/delimited-release/median.imp... ✔  (230 ms)
./experiments/delimited-release/median-no-dr.imp... ✔  (243 ms)
./experiments/delimited-release/parity2.imp... ✔  (215 ms)
./experiments/delimited-release/parity-fun.imp... ✔  (190 ms)
./experiments/delimited-release/parity.imp... ✔  (190 ms)
./experiments/delimited-release/parity-no-dr.imp... ✔  (190 ms)
./experiments/delimited-release/wallet.imp... ✔  (189 ms)
./experiments/delimited-release/wallet-no-dr.imp... ✔  (189 ms)
./experiments/flaky-tests/httpRequest.imp... ✔  (189 ms)
./experiments/gni/denning1.imp... ✔  (189 ms)
./experiments/gni/denning2.imp... ❌  (212 ms)
./experiments/gni/denning3.imp... ✔  (191 ms)
./experiments/gni/nondet-leak2.imp... ✔  (189 ms)
./experiments/gni/nondet-leak.imp... ✔  (189 ms)
./experiments/gni/nondet-nonleak2.imp... ✔  (189 ms)
./experiments/gni/nondet-nonleak.imp... ✔  (192 ms)
./experiments/gni/simple-leak.imp... ✔  (225 ms)
./experiments/gni/simple-nonleak.imp... ✔  (188 ms)
./experiments/gni/smith1.imp... ✔  (189 ms)
./experiments/param-usage/coin-unused.imp... ✔  (189 ms)
./experiments/param-usage/det-unused.imp... ✔  (188 ms)
./experiments/param-usage/nondet-unused.imp... ✔  (189 ms)
./experiments/param-usage/nondet-used.imp... ✔  (189 ms)
./experiments/param-usage/semantically-unused.imp... ✔  (190 ms)
./experiments/param-usage/three-used.imp... ✔  (189 ms)
